Generation,MarriageObsolete
Millennial,No
Boomers,No
Over65,No
Boomers,No
GenX,No
Boomers,No
Boomers,Yes
GenX,Yes
Over65,Yes
Boomers,Yes
Millennial,Yes
Millennial,No
Millennial,No
Over65,No
Millennial,No
Millennial,Yes
Boomers,No
Millennial,Yes
Boomers,Yes
Boomers,Yes
GenX,No
GenX,No
GenX,No
GenX,Yes
Millennial,Yes
Over65,Yes
Over65,Yes
Boomers,No
Boomers,Yes
GenX,No
Boomers,No
Boomers,No
GenX,Yes
GenX,Yes
GenX,Yes
Boomers,Yes
GenX,Yes
Millennial,No
Over65,No
Boomers,Yes
GenX,Yes
Over65,No
Boomers,No
Millennial,No
Boomers,No
Boomers,No
Millennial,Yes
GenX,No
Boomers,No
Boomers,No
GenX,Yes
Millennial,Yes
Boomers,No
Millennial,No
Over65,No
Boomers,Yes
Boomers,No
Boomers,Yes
GenX,No
Boomers,No
GenX,Yes
Millennial,Yes
GenX,No
Boomers,Yes
GenX,No
Millennial,Yes
Boomers,Yes
Boomers,No
Millennial,No
Boomers,Yes
GenX,No
Millennial,Yes
Boomers,No
GenX,No
Millennial,Yes
Boomers,No
GenX,No
Millennial,No
Over65,No
GenX,Yes
Millennial,No
Boomers,Yes
GenX,No
Boomers,Yes
Boomers,Yes
Millennial,No
Boomers,No
Boomers,No
GenX,No
Over65,No
GenX,Yes
GenX,No
Millennial,Yes
Boomers,No
Boomers,Yes
Millennial,No
Millennial,No
Boomers,Yes
Millennial,No
GenX,Yes
Millennial,No
Boomers,No
Millennial,No
Boomers,Yes
Boomers,No
Boomers,No
Millennial,Yes
Over65,No
Millennial,No
GenX,No
Millennial,Yes
Boomers,Yes
GenX,Yes
Over65,Yes
Boomers,Yes
Millennial,No
Boomers,No
Millennial,No
GenX,Yes
Boomers,No
Millennial,No
Boomers,No
GenX,Yes
GenX,No
Millennial,No
Millennial,Yes
GenX,No
Millennial,No
Millennial,No
Boomers,No
Boomers,Yes
Over65,No
Boomers,No
Over65,No
Over65,Yes
Boomers,No
Over65,No
Boomers,No
Boomers,Yes
GenX,No
Millennial,Yes
Millennial,No
Boomers,Yes
GenX,Yes
Millennial,No
GenX,Yes
Millennial,No
Boomers,No
GenX,Yes
Millennial,Yes
Boomers,No
GenX,Yes
Boomers,No
Boomers,No
Millennial,No
GenX,No
GenX,No
Boomers,No
Boomers,Yes
Millennial,Yes
Boomers,No
Over65,No
Over65,No
Boomers,No
Boomers,No
Boomers,No
Boomers,No
Boomers,No
Over65,Yes
Boomers,No
Boomers,No
Boomers,Yes
Over65,No
Boomers,No
Millennial,Yes
Boomers,Yes
Boomers,No
Boomers,No
Boomers,No
GenX,Yes
Boomers,No
Boomers,Yes
Boomers,No
Boomers,No
GenX,No
Boomers,No
Boomers,No
Boomers,Yes
Boomers,Yes
Millennial,Yes
Boomers,Yes
Millennial,No
Millennial,No
Millennial,No
GenX,Yes
Millennial,Yes
Millennial,Yes
Over65,No
Boomers,No
Boomers,Yes
Over65,Yes
Boomers,Yes
Boomers,No
Boomers,No
Boomers,No
Boomers,Yes
Millennial,No
Boomers,Yes
Boomers,Yes
Boomers,No
Boomers,No
Boomers,No
Boomers,No
Over65,No
Millennial,No
Millennial,No
GenX,Yes
Over65,No
GenX,No
Millennial,No
Millennial,No
Over65,Yes
GenX,No
Over65,Yes
GenX,Yes
GenX,Yes
GenX,No
Boomers,No
Boomers,Yes
Boomers,No
Boomers,Yes
GenX,No
Boomers,No
Boomers,No
GenX,No
Over65,Yes
Boomers,No
Millennial,Yes
Boomers,Yes
GenX,No
Millennial,Yes
Boomers,Yes
Boomers,No
Millennial,No
Boomers,No
Boomers,No
Boomers,No
Millennial,Yes
Over65,No
GenX,Yes
Millennial,No
GenX,No
Boomers,Yes
Boomers,Yes
GenX,Yes
GenX,No
Boomers,No
GenX,No
Boomers,No
Boomers,Yes
Boomers,No
Millennial,No
Boomers,No
Millennial,No
Boomers,No
Boomers,No
GenX,No
Boomers,Yes
Millennial,Yes
GenX,Yes
GenX,Yes
GenX,Yes
Boomers,No
Millennial,No
Boomers,Yes
GenX,Yes
Over65,Yes
GenX,No
Boomers,No
Boomers,No
GenX,No
Boomers,Yes
GenX,Yes
Millennial,No
Millennial,Yes
Boomers,No
Millennial,No
Boomers,Yes
Boomers,No
Boomers,Yes
GenX,Yes
Millennial,No
Boomers,Yes
GenX,No
GenX,No
Boomers,Yes
Boomers,Yes
GenX,No
Boomers,No
Over65,No
Millennial,Yes
Boomers,Yes
Millennial,Yes
Millennial,No
Millennial,No
Millennial,No
GenX,Yes
Over65,Yes
GenX,No
Boomers,No
Millennial,Yes
Over65,No
GenX,Yes
GenX,Yes
Boomers,Yes
GenX,Yes
Millennial,No
Millennial,No
Boomers,No
Over65,No
Boomers,No
Millennial,Yes
Over65,No
Boomers,No
GenX,Yes
Boomers,No
Millennial,Yes
Millennial,Yes
GenX,No
GenX,No
Boomers,Yes
GenX,No
Boomers,No
Millennial,No
Millennial,Yes
Boomers,Yes
Millennial,No
Millennial,Yes
Boomers,No
GenX,No
Millennial,No
Over65,No
GenX,No
Boomers,No
Millennial,Yes
GenX,No
Boomers,No
Boomers,No
GenX,Yes
Boomers,No
Boomers,No
Millennial,No
Boomers,No
Boomers,No
GenX,No
Boomers,No
Boomers,No
Boomers,No
Boomers,Yes
Over65,Yes
Boomers,Yes
Boomers,No
Millennial,Yes
GenX,No
Boomers,Yes
Boomers,No
GenX,Yes
Boomers,No
Millennial,No
Millennial,Yes
Boomers,No
Millennial,Yes
Boomers,Yes
Boomers,No
GenX,No
GenX,No
Boomers,Yes
GenX,No
GenX,No
Boomers,No
Boomers,Yes
Millennial,No
GenX,No
GenX,No
Millennial,No
Millennial,No
GenX,Yes
Over65,No
Boomers,No
Boomers,No
Boomers,No
Over65,No
Boomers,Yes
Boomers,No
Boomers,No
GenX,Yes
GenX,No
Boomers,No
Boomers,Yes
GenX,No
GenX,Yes
Boomers,Yes
Boomers,No
Boomers,No
Boomers,No
Boomers,Yes
Boomers,Yes
Boomers,No
GenX,No
Over65,No
Millennial,No
Boomers,No
Boomers,No
GenX,No
Boomers,Yes
GenX,Yes
Millennial,Yes
Boomers,Yes
Millennial,Yes
GenX,No
Boomers,No
Boomers,No
Boomers,No
Boomers,No
Boomers,Yes
Boomers,No
Boomers,Yes
Millennial,No
Boomers,No
Boomers,No
Over65,No
Boomers,No
Boomers,Yes
GenX,No
GenX,No
Boomers,Yes
Millennial,Yes
Boomers,Yes
GenX,Yes
Millennial,No
Boomers,No
Over65,Yes
Boomers,Yes
GenX,No
Boomers,Yes
Millennial,No
Millennial,Yes
Millennial,Yes
Boomers,Yes
GenX,No
GenX,No
Boomers,No
Millennial,No
Boomers,Yes
Millennial,Yes
Boomers,Yes
Boomers,No
Boomers,No
Boomers,No
GenX,No
GenX,Yes
Boomers,Yes
Boomers,No
Over65,No
GenX,No
Boomers,Yes
Boomers,Yes
Boomers,No
GenX,Yes
Boomers,No
Millennial,Yes
Boomers,No
Over65,No
Boomers,No
Boomers,No
Boomers,Yes
Boomers,No
GenX,Yes
Millennial,No
GenX,Yes
Boomers,Yes
Millennial,No
GenX,Yes
GenX,No
GenX,No
Boomers,No
Boomers,No
Boomers,No
GenX,No
GenX,No
Boomers,Yes
Boomers,No
GenX,No
Boomers,No
Boomers,No
Millennial,No
GenX,Yes
Boomers,No
Over65,No
Boomers,No
GenX,No
Over65,Yes
Boomers,Yes
Boomers,No
Millennial,No
Boomers,No
Boomers,No
GenX,No
Boomers,No
Boomers,No
GenX,Yes
Millennial,No
Over65,Yes
Millennial,Yes
Boomers,No
GenX,Yes
Boomers,Yes
Millennial,No
Boomers,Yes
Boomers,Yes
Millennial,No
GenX,No
Millennial,No
Boomers,Yes
Boomers,No
Boomers,No
Boomers,Yes
GenX,Yes
Over65,No
Boomers,No
Boomers,No
Millennial,Yes
GenX,Yes
GenX,Yes
Millennial,Yes
GenX,No
Millennial,No
Boomers,No
Boomers,No
Millennial,Yes
Boomers,No
GenX,Yes
GenX,No
Millennial,Yes
Millennial,No
Boomers,No
Millennial,No
Millennial,Yes
Boomers,Yes
GenX,No
Boomers,Yes
Boomers,No
GenX,No
GenX,Yes
Millennial,No
Boomers,Yes
GenX,No
Boomers,Yes
GenX,Yes
GenX,No
Boomers,No
Boomers,Yes
Millennial,Yes
Boomers,No
Boomers,No
GenX,Yes
Boomers,No
Over65,No
Boomers,No
GenX,Yes
Boomers,No
Millennial,No
Millennial,Yes
Boomers,No
Boomers,No
Over65,No
GenX,Yes
GenX,No
GenX,No
GenX,Yes
Boomers,No
Boomers,Yes
GenX,Yes
Boomers,No
Millennial,Yes
Boomers,No
Boomers,No
Over65,No
GenX,No
Boomers,No
Boomers,Yes
Millennial,No
Boomers,No
GenX,Yes
GenX,Yes
GenX,Yes
GenX,No
Boomers,No
GenX,Yes
GenX,Yes
Boomers,Yes
Boomers,No
Boomers,Yes
Boomers,Yes
Over65,No
Millennial,No
Boomers,Yes
Boomers,No
GenX,No
GenX,No
Millennial,Yes
GenX,No
Boomers,No
GenX,No
GenX,Yes
Millennial,Yes
Over65,No
Boomers,Yes
Boomers,Yes
Millennial,No
Boomers,Yes
Boomers,No
Boomers,No
GenX,Yes
GenX,Yes
Boomers,Yes
Millennial,Yes
Boomers,Yes
GenX,Yes
Boomers,No
Boomers,Yes
Boomers,No
Boomers,No
Millennial,No
GenX,Yes
GenX,No
Boomers,Yes
Millennial,Yes
Boomers,No
GenX,Yes
Boomers,Yes
Over65,No
Boomers,Yes
Boomers,No
GenX,Yes
Boomers,No
Millennial,No
Over65,No
GenX,Yes
Boomers,No
GenX,No
Boomers,No
GenX,No
Boomers,Yes
Boomers,Yes
GenX,No
Boomers,No
Boomers,Yes
GenX,No
Boomers,No
Boomers,No
Millennial,No
Boomers,No
Boomers,No
GenX,Yes
GenX,No
Boomers,No
GenX,No
Millennial,No
Millennial,No
GenX,No
Boomers,No
Over65,No
Boomers,Yes
GenX,Yes
Boomers,No
Boomers,No
Millennial,Yes
Boomers,No
Over65,No
GenX,No
Boomers,No
Boomers,No
Millennial,Yes
Millennial,No
Boomers,Yes
Millennial,No
Millennial,Yes
Boomers,No
Boomers,Yes
Boomers,Yes
Millennial,Yes
Boomers,No
GenX,Yes
GenX,Yes
Boomers,No
Boomers,No
GenX,No
Boomers,Yes
Boomers,Yes
Millennial,No
Boomers,Yes
Millennial,No
Millennial,Yes
Over65,No
GenX,No
Boomers,No
GenX,Yes
Boomers,No
Millennial,Yes
Boomers,No
GenX,No
Boomers,Yes
GenX,No
GenX,No
GenX,Yes
Boomers,No
Millennial,Yes
Boomers,Yes
GenX,Yes
Millennial,No
Boomers,No
Boomers,No
GenX,Yes
Boomers,No
Millennial,No
GenX,No
Millennial,Yes
GenX,Yes
Millennial,Yes
Boomers,No
Boomers,No
Boomers,Yes
Millennial,No
GenX,No
